id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
114185786,Women's Happy Ankle Runner Grip Sock- Pink,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,18 USD,https://www.twinlion.co/womens-happy-ankle-runner-grip-sock-pink.html,https://cdn.shoplightspeed.com/shops/651012/files/71762833/screenshot-2025-08-18-at-95807am.png,N/A,1,M/L,67891645
114185782,Women's Happy Ankle Runner Grip Sock- Pink,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,18 USD,https://www.twinlion.co/womens-happy-ankle-runner-grip-sock-pink.html,https://cdn.shoplightspeed.com/shops/651012/files/71762833/screenshot-2025-08-18-at-95807am.png,N/A,2,S/M,67891645
114185769,Women's Betsy Full Foot Grip Sock- Pink,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,16 USD,https://www.twinlion.co/womens-betsy-full-foot-grip-sock-pink.html,https://cdn.shoplightspeed.com/shops/651012/files/71762808/screenshot-2025-08-18-at-95512am.png,N/A,2,S/M,67891634
114185768,Women's Betsy Full Foot Grip Sock- Pink,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,16 USD,https://www.twinlion.co/womens-betsy-full-foot-grip-sock-pink.html,https://cdn.shoplightspeed.com/shops/651012/files/71762808/screenshot-2025-08-18-at-95512am.png,N/A,2,M/L,67891634
114185763,Women's Betsy Full Foot Grip Sock- Ivory,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,16 USD,https://www.twinlion.co/womens-betsy-full-foot-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71762786/screenshot-2025-08-18-at-95319am.png,N/A,2,M/L,67891628
114185760,Women's Betsy Full Foot Grip Sock- Ivory,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,16 USD,https://www.twinlion.co/womens-betsy-full-foot-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71762786/screenshot-2025-08-18-at-95319am.png,N/A,1,S/M,67891628
114185723,Women's Berry Full Foot Grip Sock,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,16 USD,https://www.twinlion.co/womens-berry-full-foot-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71762745/screenshot-2025-08-18-at-94452am.png,N/A,2,M/L,67891606
114185680,Women's Annie Ankle Grip Sock,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,18 USD,https://www.twinlion.co/womens-annie-ankle-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71762668/screenshot-2025-08-18-at-94049am.png,N/A,2,M/L,67891575
114185675,Women's Annie Ankle Grip Sock,"Featuring a cute pattern, these socks offer no-slip grips and comfort for every step.",in stock,new,18 USD,https://www.twinlion.co/womens-annie-ankle-grip-sock.html,https://cdn.shoplightspeed.com/shops/651012/files/71762668/screenshot-2025-08-18-at-94049am.png,N/A,2,S/M,67891575
114174972,Ipanema Miyuki Bracelet- Seafoam,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-miyuki-bracelet-seafoam.html,https://cdn.shoplightspeed.com/shops/651012/files/71751288/296f2b998e115776047d7197ad0a7dbcfbecfdbbaffd920e14.webp,N/A,2,One size,67886197
114174966,Ipanema Miyuki Bracelet- Hunter Green,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-miyuki-bracelet-hunter-green.html,https://cdn.shoplightspeed.com/shops/651012/files/71751303/2033d2922b9f5d0b0e5133a8a05cb78cce11d336649858d391.webp,N/A,2,One size,67886196
114174945,Ipanema Dainty Bracelet 24k Gold Plated- Yellow,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-yellow.html,https://cdn.shoplightspeed.com/shops/651012/files/71751485/img-3585.jpg,N/A,2,One size,67886184
114174937,Ipanema Dainty Bracelet 24k Gold Plated- White,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71751422/img-3583.jpg,N/A,2,One size,67886182
114174930,Ipanema Dainty Bracelet 24k Gold Plated- Turquoise,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-turquoise.html,https://cdn.shoplightspeed.com/shops/651012/files/71751478/img-3589.jpg,N/A,2,One size,67886177
114174912,Ipanema Dainty Bracelet 24k Gold Plated- Sky Blue,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-sky-blue.html,https://cdn.shoplightspeed.com/shops/651012/files/71751418/img-3584.jpg,N/A,2,One size,67886168
114174887,Ipanema Dainty Bracelet 24K Gold Plated- Cream,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-cream.html,https://cdn.shoplightspeed.com/shops/651012/files/71751414/img-3586.jpg,N/A,2,One size,67886157
114174520,Ipanema Dainty Bracelet 24k Gold Plated- Black,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-24k-gold-plated-black.html,https://cdn.shoplightspeed.com/shops/651012/files/71751405/img-3582.jpg,N/A,2,One size,67885930
114174500,Ipanema Dainty Bracelet- Charcoal,Dainty beaded bracelet with an adjustable pull tie closer to fit any wrist. Mix match stack and create your look!,in stock,new,14 USD,https://www.twinlion.co/ipanema-dainty-bracelet-charcoal.html,https://cdn.shoplightspeed.com/shops/651012/files/71751436/img-3587.jpg,N/A,2,One size,67885916
114109514,Djuna Long Sleeve- White,The Djuna Long Sleeve is the perfect option for your cool weather outdoor workouts.,in stock,new,78 USD,https://www.twinlion.co/djuna-long-sleeve-white.html,https://cdn.shoplightspeed.com/shops/651012/files/71686497/08-djunalongsleeve-white-d4208-airweightsuperhighw.webp,N/A,1,S,67852123
114067564,Boyfriend Shirt- Stripe Indigo,"The Boyfriend shirt is a great transitional button down, featuring a relaxed, oversized fit and classic shirting details.",in stock,new,178 USD,https://www.twinlion.co/boyfriend-shirt-stripe-indigo.html,https://cdn.shoplightspeed.com/shops/651012/files/71654087/img-0081.jpg,N/A,2,S,67826158
114067559,Boyfriend Shirt- Stripe Indigo,"The Boyfriend shirt is a great transitional button down, featuring a relaxed, oversized fit and classic shirting details.",in stock,new,178 USD,https://www.twinlion.co/boyfriend-shirt-stripe-indigo.html,https://cdn.shoplightspeed.com/shops/651012/files/71654087/img-0081.jpg,N/A,1,XS,67826158
