id,title,description,availability,condition,price,link,image_link,brand,quantity_to_sell_on_facebook,size,item_group_id
112483010,Classic Sweatshirt-Peace Out- Apricot,"The Classic sweatshirt is made from our most popular vintage fleece, and is truly as soft and cozy as it gets. We love it here with our ‘peace out graphic.’ Style with the Classic jogger to complete the set.",in stock,new,178 USD,classic-sweatshirt-peace-out-apricot,https://cdn.shoplightspeed.com/shops/651012/files/70123098/screenshot-2025-04-16-at-43841pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",1,L,66931003
112483004,Classic Sweatshirt-Peace Out- Apricot,"The Classic sweatshirt is made from our most popular vintage fleece, and is truly as soft and cozy as it gets. We love it here with our ‘peace out graphic.’ Style with the Classic jogger to complete the set.",in stock,new,178 USD,classic-sweatshirt-peace-out-apricot,https://cdn.shoplightspeed.com/shops/651012/files/70123098/screenshot-2025-04-16-at-43841pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",1,M,66931003
112482996,Classic Sweatshirt-Peace Out- Apricot,"The Classic sweatshirt is made from our most popular vintage fleece, and is truly as soft and cozy as it gets. We love it here with our ‘peace out graphic.’ Style with the Classic jogger to complete the set.",in stock,new,178 USD,classic-sweatshirt-peace-out-apricot,https://cdn.shoplightspeed.com/shops/651012/files/70123098/screenshot-2025-04-16-at-43841pm.png,"{'resource': {'id': 3192429, 'url': 'brands/3192429', 'link': 'https://api.shoplightspeed.com/us/brands/3192429.json'}}",2,S,66931003
112437279,Spacedye Slim Racerback Crop Tank,"A cropped active tank made from our signature performance fabric featuring UPF 50+ protection, built-in bra offering medium support and soft straps that never dig in.",in stock,new,68 USD,spacedye-slim-racerback-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077821/sd4382-candy-apple-red-heather-07416.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,L,66905986
112437275,Spacedye Slim Racerback Crop Tank,"A cropped active tank made from our signature performance fabric featuring UPF 50+ protection, built-in bra offering medium support and soft straps that never dig in.",in stock,new,68 USD,spacedye-slim-racerback-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077821/sd4382-candy-apple-red-heather-07416.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",2,M,66905986
112437271,Spacedye Slim Racerback Crop Tank,"A cropped active tank made from our signature performance fabric featuring UPF 50+ protection, built-in bra offering medium support and soft straps that never dig in.",in stock,new,68 USD,spacedye-slim-racerback-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077821/sd4382-candy-apple-red-heather-07416.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,S,66905986
112437266,Spacedye Slim Racerback Crop Tank,"A cropped active tank made from our signature performance fabric featuring UPF 50+ protection, built-in bra offering medium support and soft straps that never dig in.",in stock,new,68 USD,spacedye-slim-racerback-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077821/sd4382-candy-apple-red-heather-07416.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",0,XS,66905986
112436920,Spacedye On The Up Crop Tank,,in stock,new,74 USD,spacedye-on-the-up-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077455/sd4712-darkest-night-16036.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,L,66905810
112436916,Spacedye On The Up Crop Tank,,in stock,new,74 USD,spacedye-on-the-up-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077455/sd4712-darkest-night-16036.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",0,M,66905810
112436910,Spacedye On The Up Crop Tank,,in stock,new,74 USD,spacedye-on-the-up-crop-tank,https://cdn.shoplightspeed.com/shops/651012/files/70077455/sd4712-darkest-night-16036.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",2,S,66905810
112436795,Spacedye Starting Line Dress- Darkest Night,,in stock,new,128 USD,spacedye-starting-line-dress-darkest-night,https://cdn.shoplightspeed.com/shops/651012/files/70077341/sd6283-darkest-night-cloud-white-4399.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,L,66905739
112436787,Spacedye Starting Line Dress- Darkest Night,,in stock,new,128 USD,spacedye-starting-line-dress-darkest-night,https://cdn.shoplightspeed.com/shops/651012/files/70077341/sd6283-darkest-night-cloud-white-4399.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",0,M,66905739
112436782,Spacedye Starting Line Dress- Darkest Night,,in stock,new,128 USD,spacedye-starting-line-dress-darkest-night,https://cdn.shoplightspeed.com/shops/651012/files/70077341/sd6283-darkest-night-cloud-white-4399.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,S,66905739
112436778,Spacedye Starting Line Dress- Darkest Night,,in stock,new,128 USD,spacedye-starting-line-dress-darkest-night,https://cdn.shoplightspeed.com/shops/651012/files/70077341/sd6283-darkest-night-cloud-white-4399.webp,"{'resource': {'id': 2559290, 'url': 'brands/2559290', 'link': 'https://api.shoplightspeed.com/us/brands/2559290.json'}}",1,XS,66905739
